common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Thop1,Sypl1,Elovl4
Thrap3,Syt16,Elovl5
Thumpd1,Sytl2,Elovl7
Ticrr,Tacc3,Elp1
Tigd3,Tada2b,Elp2
Timeless,Taf1a,Elp3
Timm10,Taf5,Elp4
Timm13,Taf6,Elp6
Timm17a,Taf6l,Emc4
Timm21,Tango6,Emc7
Tipin,Tank,Emc8
Tlnrd1,Tap1,Emc9
Tlr9,Tap2,Emilin2
Tm4sf1,Tarbp2,Emilin3
Tm9sf4,Tardbp,Eml3
Tmco1,Tasor,Eml4
Tmed2,Tasor2,Eml5
Tmem109,Tbc1d19,Eml6
Tmem115,Tbc1d4,Emsy
Tmem126a,Tbcc,Enah
Tmem131,Tbccd1,Enc1
Tmem156,Tbl2,Endod1
Tmem161b,Tcea1,Endou
Tmem168,Tcerg1,Enho
Tmem178b,Tcf19,Enoph1
Tmem184c,Tcf3,Enosf1
Tmem201,Tchp,Enox1
Tmem209,Tcof1,Enpep
Tmem243,Tcp1,Enpp1
Tmem259,Tdrd3,Enpp6
Tmem39b,Tenm3,Ensa
Tmem51,Tent5a,Entpd4
Tmem62,Terf1,Entpd5
Tmem70,Terf2ip,Entpd7
Tmpo,Tex10,Entr1
Tmppe,Tex264,Ep300
Tmprss6,Tfam,Ep400
Tmtc4,Tfdp1,Epb41
Tmx1,Tfdp2,Epb41l1
Tmx2,Tgfb1i1,Epb41l2
Tnfaip3,Tgfb3,Epb41l4a
Tnpo1,Tgfbr1,Epb41l5
Tnpo3,Thap12,Epc1
Tomm22,Thap4,Epc2
Tomm70,Thbs1,Epdr1
Tonsl,Thbs2,Epg5
Top2b,Thoc3,Epha2
Top3b,Thoc5,Ephb3
Topbp1,Thoc7,Ephb4
Topors,Thop1,Ephx1
Tor1aip1,Thrap3,Epm2a
Tox4,Ticrr,Epm2aip1
Tpm3,Tifa,Eppk1
Tpp2,Timeless,Eprs1
Tpr,Timm13,Eps15
Tprn,Timm21,Eps15l1
Tpx2,Tipin,Eps8l2
Tra2b,Tirap,Erap1
Traf2,Tjp1,Erbb3
Traf3,Tle1,Erbin
Traf3ip1,Tle5,Erc2
Traip,Tlk1,Ercc3
Trappc8,Tlr1,Ercc5
Trib3,Tlr3,Ercc6
Trim24,Tlr6,Ercc8
Trim26,Tlr9,Ereg
Trim33,Tm2d2,Erg28
Triobp,Tm4sf1,Ergic3
Trip13,Tm9sf2,Erh
Trir,Tmbim4,Eri1
Trmo,Tmcc3,Eri2
Trmt1,Tmco1,Eri3
Trmt10c,Tmed2,Erich1
Trmt1l,Tmem109,Erich3
Trmt2a,Tmem115,Erich6
Trmt5,Tmem125,Erlec1
Trmt6,Tmem126a,Erlin1
Trmt61a,Tmem131,Erlin2
Troap,Tmem161b,Ermap
Trpc2,Tmem165,Ermard
Trpc3,Tmem168,Ermp1
Trub1,Tmem183a,Ero1a
Tsen15,Tmem184c,Ero1b
Tspan5,Tmem209,Erp29
Tst,Tmem222,Erp44
Ttc33,Tmem223,Errfi1
Ttc4,Tmem243,Esco1
Ttf2,Tmem259,Esco2
Ttk,Tmem39b,Esd
Ttll5,Tmem41a,Esf1
Tuba1b,Tmem42,Espl1
Tuba1c,Tmem44,Esr1
Tuba4a,Tmpo,Esr2
Tubb,Tmppe,Esrp2
Tubb6,Tmtc4,Esrra
Tube1,Tmx1,Ess2
Tubgcp2,Tmx3,Esyt1
Tubgcp3,Tnfaip3,Esyt2
Tubgcp4,Tnfrsf11a,Etaa1
Tubgcp6,Tnfrsf19,Etf1
Tufm,Tnn,Etfa
Tut1,Tnpo1,Etfdh
Twf1,Tnpo3,Ets1
Twnk,Tns3,Ets2
Txn,Toe1,Etv1
Txnl1,Tomm22,Etv3
Txnl4a,Tomm34,Etv3l
Tyms,Tonsl,Etv5
U2af1,Topbp1,Eva1b
U2surp,Topors,Evc
Uap1,Tor1aip1,Evc2
Ubac1,Tox4,Evi5l
Ubap2,Tpcn2,Evl
Ubap2l,Tpd52l2,Ewsr1
Ube2d2,Tpm3,Exd1
Ube2d4,Tpp2,Exd2
Ube2j2,Tprg1,Exo1
Ube2k,Tpst2,Exo5
Ube2t,Tpx2,Exoc1
Ube3d,Tra2b,Exoc2
Ubiad1,Traf2,Exoc3
Ubl7,Traf3ip1,Exoc3l4
Ubn2,Traip,Exoc4
Ubqln4,Tram2,Exoc5
Ubr2,Trappc8,Exoc6
Ubr4,Trim2,Exoc8
Ubxn4,Trim21,Exog
Ubxn8,Trim33,Exosc1
Uchl3,Triobp,Exosc10
Uchl5,Trip13,Exosc3
Uck2,Trir,Exosc4
Ufd1,Trmt1,Exosc6
Uhrf1,Trmt10c,Exosc7
Umps,Trmt1l,Exosc8
Ung,Trmt61a,Exosc9
Upf2,Troap,Exph5
Urgcp,Trpc3,Ext2
Usp1,Trpm7,Extl2
Usp10,Trub1,Extl3
Usp24,Tsc22d4,Eya1
Usp37,Tst,Eya3
Usp38,Tstd2,Ezh2
Usp40,Ttc14,Ezr
Usp42,Ttc4,F2r
Usp47,Ttf2,F2rl1
Usp48,Ttk,F2rl2
Uspl1,Ttl,F3
Utp11,Ttll5,Fa2h
Utp20,Ttpal,Faah
Utp25,Tuba1a,Faap20
Utp3,Tuba1b,Fabp4
Utp4,Tuba1c,Fadd
Uvrag,Tubb,Fads3
Vangl1,Tubb4b,Faf1
Vars1,Tubb6,Faf2
Vcp,Tube1,Fah
Vcpip1,Tubgcp2,Fahd2a
Vcpkmt,Tubgcp3,Fam102b
Vdac3,Tubgcp4,Fam107b
Vdr,Tubgcp6,Fam110a
Vegfc,Tusc2,Fam110b
Vgll3,Twf1,Fam110d
Virma,Twsg1,Fam114a1
Vps26a,Txn,Fam117b
Vps29,Txnl4a,Fam118a
Vps33a,Tyms,Fam118b
Vps35,Tyw3,Fam120a
Vps37b,U2af1,Fam120b
Vps37c,U2surp,Fam122a
Vps4a,Uaca,Fam126b
Vps50,Uap1,Fam131a
Vrk1,Uba6,Fam131b
Vrk2,Ubap2,Fam133b
Wac,Ubap2l,Fam135a
Wapl,Ube2d2,Fam135b
Wasf2,Ube2f,Fam13b
Wbp4,Ube2k,Fam149a
Wdhd1,Ube2l3,Fam149b1
Wdr12,Ube2n,Fam151b
Wdr20,Ube2t,Fam160a2
Wdr3,Ube2v1,Fam160b1
Wdr33,Ube3d,Fam160b2
Wdr36,Ubl7,Fam161a
Wdr46,Ubp1,Fam161b
Wdr53,Ubqln4,Fam167a
Wdr6,Ubr7,Fam168a
Wdr61,Ubxn8,Fam168b
Wdr70,Uchl3,Fam169a
Wdr74,Uchl5,Fam169b
Wdr75,Ufd1,Fam171a1
Wdr76,Uhmk1,Fam174c
Wdr77,Uhrf1,Fam178b
Wdr82,Uhrf1bp1l,Fam185a
Wdr89,Ulk4,Fam189a1
Wdr92,Umps,Fam189a2
Wee1,Ung,Fam189b
Whamm,Upf1,Fam193a
Wipi2,Upf2,Fam193b
Wrnip1,Urb2,Fam204a
Wwox,Urgcp,Fam207a
Xab2,Urod,Fam20b
Xpo1,Usp1,Fam20c
Xpo4,Usp10,Fam210a
Xpo6,Usp12,Fam210b
Xpo7,Usp15,Fam214a
Xrcc6,Usp21,Fam214b
Xrn2,Usp28,Fam216a
Ybx1,Usp37,Fam219a
Yju2,Usp38,Fam219b
Ykt6,Usp47,Fam220a
Ylpm1,Usp49,Fam221b
Yod1,Usp53,Fam227a
Ythdc1,Usp6nl,Fam229b
Ythdf2,Uspl1,Fam237a
Ywhah,Utp11,Fam241a
Zbed4,Utp20,Fam25a
Zbtb11,Utp25,Fam32a
Zbtb2,Utp3,Fam3c
Zbtb21,Utp4,Fam43a
Zbtb38,Uvrag,Fam53a
Zbtb40,Vangl1,Fam53b
Zbtb8a,Vapa,Fam53c
Zc3h12c,Vars1,Fam71f1
Zc3h13,Vcp,Fam71f2
Zc3h15,Vcpip1,Fam72a
Zc3h18,Vdac2,Fam76b
Zc3h8,Vdac3,Fam83c
Zcchc17,Vdr,Fam83d
Zcchc3,Vezt,Fam89b
Zcchc8,Vgll3,Fam8a1
Zcchc9,Vim,Fam98b
Zdhhc5,Vnn1,Fan1
Zdhhc6,Vps37b,Fanca
Zfhx3,Vps4a,Fancc
Zfp1,Vps50,Fance
Zfr,Vps54,Fancf
Zgrf1,Vrk1,Fancg
Zmpste24,Vrk2,Fanci
Zmynd19,Wac,Fancl
Znf131,Wasf2,Fancm
Znf143,Washc1,Fank1
Znf16,Washc4,Far1
Znf319,Wdhd1,Farp1
Znf367,Wdr3,Farp2
Znf394,Wdr33,Fars2
Znf451,Wdr36,Farsa
Znf462,Wdr37,Farsb
Znf518a,Wdr4,Fas
Znf558,Wdr46,Fastkd1
Znf592,Wdr53,Fastkd2
Znf622,Wdr55,Fastkd3
Znf697,Wdr6,Fastkd5
Znf707,Wdr70,Fat1
Znf800,Wdr73,Fat4
Znf821,Wdr74,Fau
Znhit2,Wdr75,Fbh1
Znhit6,Wdr76,Fblim1
Znrd2,Wdr77,Fbn1
Zpr1,Wdr82,Fbrs
Zranb2,Wdr83,Fbrsl1
Zranb3,Wdr92,Fbxl12
Zscan25,Wee1,Fbxl13
Zup1,Wipi2,Fbxl17
Zw10,Wrn,Fbxl18
Zwilch,Wrnip1,Fbxl19
Zwint,Wwox,Fbxl2
,Wwp2,Fbxl22
,Xpo1,Fbxl3
,Xpo6,Fbxl4
,Xrcc6,Fbxl5
,Xrn2,Fbxl6
,Ybx1,Fbxl8
,Yes1,Fbxo10
,Yif1a,Fbxo11
,Ykt6,Fbxo15
,Yme1l1,Fbxo21
,Yod1,Fbxo22
,Ythdc1,Fbxo24
,Ythdf2,Fbxo25
,Ywhab,Fbxo28
,Ywhah,Fbxo3
,Zadh2,Fbxo30
,Zbtb11,Fbxo31
,Zbtb40,Fbxo33
,Zc3h12a,Fbxo34
,Zc3h12c,Fbxo36
,Zc3h18,Fbxo38
,Zcchc17,Fbxo4
,Zcchc8,Fbxo42
,Zdhhc20,Fbxo45
,Zdhhc24,Fbxo48
,Zdhhc3,Fbxo5
,Zdhhc5,Fbxo7
,Zdhhc8,Fbxo8
,Zfand6,Fbxo9
,Zfhx3,Fbxw4
,Zfr,Fbxw5
,Zgrf1,Fbxw7
,Zmpste24,Fbxw8
,Znf131,Fbxw9
,Znf143,Fcer1g
,Znf24,Fcf1
,Znf367,Fcho1
,Znf385b,Fcho2
,Znf394,Fchsd1
,Znf407,Fchsd2
,Znf445,Fcsk
,Znf451,Fdft1
,Znf462,Fdps
,Znf622,Fdx1
,Znf639,Fdx2
,Znf655,Fdxacb1
,Znf687,Fech
,Znf800,Fem1a
,Znf821,Fem1b
,Znhit6,Fem1c
,Znrd2,Fen1
,Zranb2,Fer
,Zranb3,Fer1l4
,Zw10,Fer1l5
,Zwilch,Fermt2
,Zwint,Fermt3
,,Fgd3
,,Fgd4
,,Fgd6
,,Fgf12
,,Fgf14
,,Fgf7
,,Fgf8
,,Fgfr1
,,Fgfr2
,,Fgfr3
,,Fggy
,,Fgl2
,,Fgr
,,Fh
,,Fhad1
,,Fhdc1
,,Fhl2
,,Fhl3
,,Fhod1
,,Fhod3
,,Fibin
,,Fibp
,,Ficd
,,Fig4
,,Fign
,,Fignl1
,,Filip1l
,,Fip1l1
,,Fis1
,,Fitm2
,,Fjx1
,,Fkbp11
,,Fkbp15
,,Fkbp1a
,,Fkbp2
,,Fkbp3
,,Fkbp5
,,Fkbp7
,,Fkbp8
,,Fkbpl
,,Fktn
,,Flad1
,,Flnb
,,Flnc
,,Flot1
,,Flrt3
,,Flt1
,,Flt1_1
,,Flvcr1
,,Flvcr2
,,Fmc1
,,Fmn1
,,Fmnl2
,,Fmnl3
,,Fmo2
,,Fmo4
,,Fmo5
,,Fmod
,,Fn1
,,Fnbp1l
,,Fnbp4
,,Fndc10
,,Fndc3a
,,Fndc3b
,,Fndc7
,,Fnip2
,,Fnta
,,Fntb
,,Focad
,,Folr1
,,Fos
,,Fosl1
,,Foxa1
,,Foxf1
,,Foxf2
,,Foxh1
,,Foxj3
,,Foxk1
,,Foxn2
,,Foxn3
,,Foxo1
,,Foxo3
,,Foxp2
,,Foxp4
,,Foxred1
,,Foxred2
,,Foxs1
,,Fpgt
,,Frat1
,,Frem1
,,Frg1
,,Frmd4a
,,Frmd6
,,Frrs1
,,Frs2
,,Frs3
,,Fry
,,Fryl
,,Fsbp
,,Fscn1
,,Fsd1
,,Fsip1
,,Fst
,,Fstl1
,,Fstl3
,,Fth1
,,Fto
,,Fubp1
,,Fuca1
,,Fuom
,,Furin
,,"Furin,"
,,Fus
,,Fut11
,,Fut6b
,,Fut8
,,Fxn
,,Fxr1
,,Fyb1
,,Fyco1
,,Fyn
,,Fyttd1
,,Fzd1
,,Fzd3
,,Fzd4
,,Fzd5
,,Fzd7
,,Fzr1
,,G2e3
,,G3bp2
,,Gab1
,,Gab2
,,Gabarapl2
,,Gabbr1
,,Gabpa
,,Gabpb1
,,Gabpb2
,,Gabrr1
,,Gad2
,,Gadd45b
,,Gadd45gip1
,,Gal3st3
,,Galc
,,Gale
,,Galk2
,,Galns
,,Galnt1
,,Galnt13
,,Galnt2
,,Galnt7
,,Galr1
,,Galt
,,Gamt
,,Gan
,,Ganab
,,Ganc
,,Gap43
,,Garem1
,,Gart
,,Gas2
,,Gas2l1
,,Gas2l3
,,Gas8
,,Gask1b
,,Gata3
,,Gata4
,,Gata6
,,Gatad1
,,Gatad2a
,,Gatad2b
,,Gatb
,,Gatd1
,,Gatd3a
,,Gatm
,,Gba
,,Gba2
,,Gbe1
,,Gbf1
,,Gbgt1
,,Gbp5
,,Gcc1
,,Gcc2
,,Gcdh
,,Gch1
,,Gclc
,,Gclm
,,Gcn1
,,Gcnt4
,,Gcsh
,,Gda
,,Gdap1l1
,,Gdap2
,,Gde1
,,Gdf11
,,Gdi2
,,Gdpd3
,,Gdpgp1
,,Gem
,,Gemin2
,,Get1
,,Get1_1
,,Get3
,,Get4
,,Gfm1
,,Gfm2
,,Gfod1
,,Gfod2
,,Gfra1
,,Gfus
,,Gga1
,,Ggact
,,Ggh
,,Ggps1
,,Ggt1
,,Ggt7
,,Ghitm
,,Ghr
,,Gid8
,,Gigyf1
,,Gigyf2
,,Gin1
,,Ginm1
,,Gins1
,,Gins2
,,Gins3
,,Gins4
,,Gipc1
,,Git2
,,Gja1
,,Gja5
,,Gjb3
,,Gjb4
,,Gjb5
,,Gk5
,,Gkap1
,,Glb1
,,Glb1l
,,Glcci1
,,Glce
,,Gldc
,,Glg1
,,Gli1
,,Gli2
,,Gli3
,,Glipr1
,,Glipr2
,,Glis1
,,Glis3
,,Glmp
,,Glo1
,,Glrx
,,Glrx2
,,Glrx3
,,Glrx5
,,Gls
,,Gls2
,,Glt8d1
,,Glt8d2
,,Gltp
,,Glud1
,,Glul
,,Glyatl3
,,Glyctk
,,Gmds
,,Gmeb1
,,Gmeb2
,,Gmfb
,,Gmip
,,Gml
,,Gmnn
,,Gmppa
,,Gmppb
,,Gmpr
,,Gmpr2
,,Gmps
,,Gna11
,,Gna12
,,Gna15
,,Gnai1
,,Gnai2
,,Gnai3
,,Gnal
,,Gnao1
,,Gnaq
,,Gnas
,,Gnat1
,,Gnat2
,,Gnb1
,,Gnb1l
,,Gnb2
,,Gnb4
,,Gnb5
,,Gne
,,Gng10
,,Gng11
,,Gng3
,,Gng7
,,Gnl1
,,Gnl2
,,Gnl3
,,Gnpat
,,Gnpda1
,,Gnpda2
,,Gnpnat1
,,Gnptab
,,Gnrh1
,,Gns
,,Golga3
,,Golga4
,,Golga5
,,Golga7
,,Golgb1
,,Golim4
,,Golm2
,,Golph3
,,Golph3l
,,Gopc
,,Gorab
,,Gorasp1
,,Gorasp2
,,Got1
,,Got2
,,Gp5
,,Gpaa1
,,Gpalpp1
,,Gpam
,,Gpank1
,,Gpat3
,,Gpat4
,,Gpatch2
,,Gpatch2l
,,Gpatch3
,,Gpatch4
,,Gpbar1
,,Gpbp1
,,Gpbp1l1
,,Gpc1
,,Gpc6
,,Gpcpd1
,,Gpd1
,,Gpd1l
,,Gpd2
,,Gphr
,,Gpld1
,,Gpn2
,,Gpn3
,,Gpr108
,,Gpr132
,,Gpr137
,,Gpr137b
,,Gpr137c
,,Gpr146
,,Gpr15
,,Gpr152
,,Gpr156
,,Gpr160
,,Gpr161
,,Gpr176
,,Gpr18
,,Gpr180
,,Gpr3
,,Gpr39
,,Gpr52
,,Gpr6
,,Gpsm1
,,Gpsm2
,,Gpsm3
,,Gpt
,,Gpt2
,,Gpx1
,,Gpx4
,,Gpx8
,,Gramd1c
,,Gramd2a
,,Gramd2b
,,Gramd4
,,Grap2
,,Grb14
,,Grhpr
,,Grin3b
,,Grina
,,Grk2
,,Grk4
,,Grk5
,,Grk6
,,Grm1
,,Grpel1
,,Grpel2
,,Grsf1
,,Gsap
,,Gsdmd
,,Gse1
,,Gsk3b
,,Gsr
,,Gss
,,Gstk1
,,Gstm3
,,Gsto1
,,Gsto1_1
,,Gstp1
,,Gstz1
,,Gtdc1
,,Gtf2a1
,,Gtf2a2
,,Gtf2b
,,Gtf2e1
,,Gtf2e2
,,Gtf2f1
,,Gtf2f2
,,Gtf2h1
,,Gtf2h3
,,Gtf2h4
,,Gtf2h5
,,Gtf2i
,,Gtf2ird1
,,Gtf3a
,,Gtf3c1
,,Gtf3c3
,,Gtf3c5
,,Gtf3c6
,,Gtpbp1
,,Gtpbp10
,,Gtpbp3
,,Gtpbp4
,,Gtpbp6
,,Gtpbp8
,,Gtse1
,,Guca2a
,,Gucd1
,,Guf1
,,Gulp1
,,Gusb
,,Gvqw3
,,Gxylt1
,,Gyg1
,,Gypc
,,Gzf1
,,Gzmm
,,H1-6
,,H6pd
,,Habp4
,,Hacd2
,,Hacd3
,,Hace1
,,Hacl1
,,Hadh
,,Hao1
,,Hao2
,,Hapln3
,,Hapln4
,,Harbi1
,,Hars1
,,Hars2
,,Has3
,,Hat1
,,Haus1
,,Haus2
,,Haus3
,,Haus4
,,Haus6
,,Haus8
,,Hax1
,,Hbegf
,,Hbp1
,,Hbs1l
,,Hcar2
,,Hcfc2
,,Hcn3
,,Hcrtr1
,,Hdac1
,,Hdac2
,,Hdac3
,,Hdac4
,,Hdac7
,,Hdac9
,,Hddc2
,,Hddc3
,,Hdgf
,,Hdgfl2
,,Hdhd2
,,Hdhd3
,,Hdlbp
,,Heatr1
,,Heatr3
,,Heatr4
,,Heatr5a
,,Heca
,,Hectd1
,,Hectd2
,,Hectd3
,,Hectd4
,,Hecw2
,,Heg1
,,Helb
,,Hells
,,Helq
,,Helz2
,,Hemk1
,,Hephl1
,,Herc1
,,Herc2
,,Herc4
,,Herpud1
,,Herpud2
,,Hes1
,,Hes6
,,Hexa
,,Hfe
,,Hgf
,,Hgh1
,,Hgsnat
,,Hhip
,,Hhipl1
,,Hhipl2
,,Hibch
,,Hic2
,,Hif1a
,,Hif1an
,,Higd1a
,,Higd2a
,,Hikeshi
,,Hilpda
,,Hinfp
,,Hint2
,,Hip1
,,Hip1r
,,Hipk1
,,Hipk2
,,Hipk3
,,Hirip3
,,Hivep1
,,Hivep2
,,Hjurp
,,Hk1
,,Hlcs
,,Hltf
,,Hlx
,,Hm13
,,Hmbox1
,,Hmbs
,,Hmcn1
,,Hmg20a
,,Hmg20b
,,Hmga1
,,Hmga2
,,Hmgb1
,,Hmgb2
,,Hmgcl
,,Hmgcr
,,Hmgcs1
,,Hmgcs2
,,Hmgn3
,,Hmgxb3
,,Hmgxb4
,,Hmox1
,,Hnf4a
,,Hnrnpa1
,,Hnrnpa3
,,Hnrnpc
,,Hnrnpd
,,Hnrnpdl
,,Hnrnph3
,,Hnrnpk
,,Hnrnpm
,,Hnrnpr
,,Hnrnpu
,,Hnrnpul2
,,Hoatz
,,Hoga1
,,Homer1
,,Homer2
,,Homer3
,,Homez
,,Hook1
,,Hook2
,,Hook3
,,Hoxc10
,,Hoxc4
,,Hoxc5
,,Hoxc6
,,Hoxc8
,,Hoxc9
,,Hoxd3
,,Hoxd4
,,Hoxd8
,,Hoxd9
,,Hp1bp3
,,Hps1
,,Hps3
,,Hps4
,,Hps5
,,Hps6
,,Hpse
,,Hpx
,,Hr
,,Hras
,,Hs6st1
,,Hs6st3
,,Hsbp1
,,Hscb
,,Hsd11b1
,,Hsd11b2
,,Hsd17b11
,,Hsd17b12
,,Hsd17b13
,,Hsd17b4
,,Hsd17b7
,,Hsd17b8
,,Hsd3b7
,,Hsdl1
,,Hsdl2
,,Hsf1
,,Hsf2bp
,,Hsf4
,,Hsh2d
,,Hsp90aa1
,,Hsp90b1
,,Hspa12a
,,Hspa12b
,,Hspa13
,,Hspa14
,,Hspa2
,,Hspa4l
,,Hspa8
,,Hspa9
,,Hspb1
,,Hspb11
,,Hspb8
,,Hspbap1
,,Hspd1
,,Hspg2
,,Hsph1
,,Htatip2
,,Htd2
,,Htr1b
,,Htr6
,,Htr7
,,Htra1
,,Htra3
,,Htra4
,,Htt
,,Hunk
,,Hus1
,,Hus1b
,,Hvcn1
,,Hyal1
,,Hyal2
,,Hyal3
,,Hydin
,,Hyi
,,Hykk
,,Hyls1
,,Hyou1
,,Hypk
,,Iars1
,,Iars2
,,Ica1l
,,Icam1
,,Icam4
,,Icam5
,,Ice1
,,Ice2
,,Icmt
,,Id1
,,Id3
,,Ide
,,Idh1
,,Idh2
,,Idh3a
,,Idh3b
,,Idi1
,,Ier2
,,Ier3
,,Ier3ip1
,,Ier5
,,Iffo2
,,Ifi30
,,Ifi44l
,,Ifit2
,,Ifitm5
,,Ifnar1
,,Ifng
,,Ifngr1
,,Ifngr2
,,Ifrd1
,,Ifrd2
,,Ift22
,,Ift27
,,Ift43
,,Ift46
,,Ift52
,,Ift57
,,Ift74
,,Ift80
,,Ift81
,,Ift88
,,Iftap
,,Igdcc4
,,Igf1r
,,Igf2bp2
,,Igf2r
,,Igfbp6
,,Igfbp7
,,Igfn1
,,Ighmbp2
,,Igip
,,Igsf6
,,Igsf8
,,Igsf9
,,Ik
,,Ikbip
,,Ikbkb
,,Ikbke
,,Ikzf2
,,Ikzf4
,,Ikzf5
,,Il11ra
,,Il12rb1
,,Il15
,,Il15ra
,,Il17c
,,Il17d
,,Il17f
,,Il18
,,Il18r1
,,Il19
,,Il1r1
,,Il1rap
,,Il1rl1
,,Il1rl2
,,Il21r
,,Il22ra1
,,Il23a
,,Il25
,,Il27
,,Il27ra
,,Il31ra
,,Il33
,,Il4r
,,Il6r
,,Il6st
,,Il7
,,Il7r
,,Ildr2
,,Ilf2
,,Ilf3
,,Ilk
,,Ilkap
,,Ilrun
,,Ilvbl
,,Immp1l
,,Immp2l
,,Imp3
,,Imp4
,,Impa1
,,Impa2
,,Impact
,,Impdh1
,,Impdh2
,,Impg2
,,Inava
,,Incenp
,,Ing1
,,Ing2
,,Ing3
,,Ing5
,,Inha
,,Inhbb
,,Inip
,,Inka1
,,Inka2
,,Ino80
,,Ino80c
,,Ino80d
,,Ino80e
,,Inpp4a
,,Inpp5a
,,Inpp5b
,,Inpp5e
,,Inpp5f
,,Inppl1
,,Insig2
,,Insr
,,Ints1
,,Ints10
,,Ints11
,,Ints12
,,Ints14
,,Ints3
,,Ints4
,,Ints5
,,Ints6
,,Ints7
,,Ints8
,,Ints9
,,Intu
,,Invs
,,Ip6k1
,,Ip6k2
,,Ip6k3
,,Ipmk
,,Ipo11
,,Ipo13
,,Ipo4
,,Ipo5
,,Ipo7
,,Ipo9
,,Ipp
,,Ippk
,,Iqcb1
,,Iqcc
,,Iqcd
,,Iqce
,,Iqcf1
,,Iqcg
,,Iqch
,,Iqgap1
,,Iqgap2
,,Iqgap3
,,Irag1
,,Irak1bp1
,,Irak3
,,Irak4
,,Ireb2
,,Irf2
,,Irf2bp2
,,Irf2bpl
,,Irf7
,,Irf9
,,Irs1
,,Irs2
,,Irx2
,,Irx3
,,Irx5
,,Isca2
,,Iscu
,,Isg15
,,Isg20
,,Isg20l2
,,Islr2
,,Ism1
,,Isoc1
,,Ist1
,,Isyna1
,,Itch
,,Itfg1
,,Itga1
,,Itga10
,,Itga2
,,Itga5
,,Itga6
,,Itga7
,,Itga8
,,Itgav
,,Itgb1
,,Itgb3bp
,,Itgb5
,,Itih5
,,Itm2b
,,Itm2c
,,Itpa
,,Itpk1
,,Itpka
,,Itpkb
,,Itprid2
,,Itprip
,,Itpripl1
,,Itpripl2
,,Itsn1
,,Ivd
,,Ivns1abp
,,Iws1
,,Iyd
,,Izumo4
,,Jade1
,,Jag1
,,Jag2
,,Jak1
,,Jak2
,,Jak3
,,Jakmip3
,,Jarid2
,,Jchain
,,Jdp2
,,Jhy
,,Jkamp
,,Jmjd1c
,,Jmjd7
,,Jmy
,,Josd1
,,Jrk
,,Jrkl
,,Jtb
,,Junb
,,Kank1
,,Kank2
,,Kank3
,,Kansl1l
,,Kansl2
,,Kansl3
,,Kars1
,,Kat14
,,Kat2b
,,Kat5
,,Kat6a
,,Kat6b
,,Kat8
,,Katna1
,,Katnal1
,,Katnal2
,,Katnb1
,,Katnbl1
,,Katnip
,,Kazald1
,,Kbtbd3
,,Kbtbd4
,,Kcnab1
,,Kcnab2
,,Kcnb1
,,Kcnd2
,,Kcng2
,,Kcnip2
,,Kcnip3
,,Kcnk15
,,Kcnk2
,,Kcnk4
,,Kcnk5
,,Kcnq5
,,Kcnrg
,,Kcnu1
,,Kctd1
,,Kctd10
,,Kctd13
,,Kctd14
,,Kctd17
,,Kctd18
,,Kctd20
,,Kctd21
,,Kctd3
,,Kctd6
,,Kctd7
,,Kctd9
,,Kdelr2
,,Kdelr3
,,Kdm1a
,,Kdm1b
,,Kdm2a
,,Kdm2b
,,Kdm3b
,,Kdm4a
,,Kdm4b
,,Kdm4c
,,Kdm4d
,,Kdm5b
,,Kdm7a
,,Kdm8
,,Kdsr
,,Keap1
,,Khdc4
,,Khdrbs1
,,Khnyn
,,Khsrp
,,Kiaa0040
,,Kiaa0232
,,Kiaa0319l
,,Kiaa0513
,,Kiaa0586
,,Kiaa0825
,,Kiaa0895
,,Kiaa0895l
,,Kiaa0930
,,Kiaa1143
,,Kiaa1191
,,Kiaa1328
,,Kiaa1522
,,Kiaa1549
,,Kiaa1614
,,Kiaa1755
,,Kiaa1841
,,Kiaa1958
,,Kiaa2013
,,Kiaa2026
,,Kif13a
,,Kif13b
,,Kif14
,,Kif15
,,Kif16b
,,Kif18a
,,Kif20a
,,Kif20b
,,Kif21a
,,Kif21b
,,Kif22
,,Kif23
,,Kif24
,,Kif26a
,,Kif27
,,Kif2a
,,Kif2c
,,Kif3b
,,Kif5a
,,Kif5b
,,Kif7
,,Kif9
,,Kifap3
,,Kifbp
,,Kifc1
,,Kifc2
,,Kifc3
,,Kin
,,Kirrel1
,,Kiss1r
,,Kiz
,,Klb
,,Klc1
,,Klc2
,,Klc4
,,Klf1
,,Klf14
,,Klf16
,,Klf2
,,Klf3
,,Klf4
,,Klf5
,,Klf6
,,Klf7
,,Klf9
,,Klhdc10
,,Klhdc2
,,Klhdc3
,,Klhdc4
,,Klhdc8b
,,Klhdc9
,,Klhl1
,,Klhl12
,,Klhl17
,,Klhl18
,,Klhl2
,,Klhl20
,,Klhl21
,,Klhl22
,,Klhl23
,,Klhl24
,,Klhl25
,,Klhl26
,,Klhl28
,,Klhl30
,,Klhl33
,,Klhl36
,,Klhl8
,,Klhl9
,,Klln
,,Klrg2
,,Kmt2a
,,Kmt2d
,,Kmt2e
,,Kmt5a
,,Kmt5b
,,Knl1
,,Knop1
,,Knstrn
,,Kpna3
,,Kpna4
,,Kpna5
,,Kpna6
,,Kri1
,,Krit1
,,Krr1
,,Krt80
,,Krtcap2
,,Kti12
,,Ktn1
,,Kyat3
