common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Chac2,Cenpu,Ankrd13d
Chaf1a,Cenpw,Ankrd16
Chaf1b,Cep128,Ankrd17
Champ1,Cep152,Ankrd22
Chcr2,Cep162,Ankrd23
Chd1,Cep192,Ankrd24
Chd9,Cep41,Ankrd28
Chek1,Cep55,Ankrd29
Chek2,Cep57,Ankrd34a
Cherp,Cep76,Ankrd35
Chordc1,Cep78,Ankrd37
Chpt1,Cerk,Ankrd39
Chrnb2,Cers6,Ankrd42
Chst6,Cfap20dc,Ankrd49
Chtf8,Cfap298,Ankrd50
Chuk,Cfap54,Ankrd52
Ciao1,Cfl1,Ankrd54
Ciapin1,Cgas,Ankrd61
Cip2a,Cggbp1,Ankrd9
Cipc,Chaf1a,Anks1a
Cisd2,Chaf1b,Anks6
Cit,Chcr2,Ankzf1
Cited2,Chd1,Anln
Ckap2,Chd9,Ano10
Ckap2l,Chek1,Ano3
Ckap4,Chek2,Ano4
Ckap5,Cherp,Ano6
Clns1a,Chka,Ano8
Clp1,Chmp4b,Anp32a
Clpp,Chordc1,Anp32b
Clptm1l,Chpt1,Anp32e
Clpx,Chst2,Antxr2
Clspn,Chtf8,Anxa1
Clta,Churc1,Anxa11
Clu,Cip2a,Anxa2
Cmah,Cipc,Anxa3
Cmpk1,Cirbp,Anxa5
Cmss1,Cisd2,Anxa7
Cmtr2,Cit,Anxa9
Cmya5,Cited2,Aopep
Cndp2,Ckap2,Ap1b1
Cnksr1,Ckap2l,Ap1g1
Cnn3,Ckap4,Ap1g2
Cnot4,Cklf,Ap1m1
Cnot9,Clasp2,Ap1s1
Cnppd1,Clic1,Ap2a2
Cobll1,Clns1a,Ap2m1
Col17a1,Clock,Ap3b1
Col18a1,Clp1,Ap3d1
Colca2,Clptm1l,Ap3m1
Commd9,Clspn,Ap3s1
Copb1,Clstn2,Ap4b1
Coprs,Cmbl,Ap4e1
Cops2,Cmtm3,Ap4m1
Cops4,Cmtm4,Ap4s1
Cops5,Cmtr1,Ap5b1
Coro1c,Cmtr2,Ap5m1
Cpne2,Cnih4,Ap5s1
Cpne3,Cnn2,Ap5z1
Cpox,Cnn3,Apba1
Cpsf2,Cnot11,Apba2
Cpsf4,Cnot4,Apba3
Cpsf6,Cnot9,Apbb1
Cpsf7,Cnppd1,Apbb1ip
Creld2,Cobll1,Apbb2
Crip2,Col12a1,Apbb3
Crispld2,Col18a1,Apc
Crkl,Colca2,Apc2
Crnkl1,Commd5,Apcdd1l
Crtc2,Cope,Apeh
Cryab,Cops2,Apex1
Crybg3,Cops4,Aph1a
Cse1l,Cops5,Aph1b
Csnk1a1,Cops8,Api5
Csnk2a1,Cops9,Apip
Csnk2a2,Coq10b,Aplp2
Csnk2b,Coro1c,Apmap
Csrnp1,Cpeb2,Apoa2
Cstf3,Cpne2,Apobec3b
Ctbp1,Cpne3,Apobr
Ctcf,Cpsf1,Apom
Ctdp1,Cpsf2,App
Ctdspl2,Cpsf4,Appl1
Ctnnal1,Cpt1a,Appl2
Ctr9,Cr1l,Aprt
Ctsh,Crip1,Aptx
Cuedc2,Crip2,Aqp11
Cul1,Crkl,Aqp2
Cul3,Crppa,Aqp8
Cul4a,Crtc2,Aqr
Cul5,Cryab,Arap1
CUNH11orf24,Crybg1,Arap3
CUNH11orf68,Crybg3,Arcn1
CUNH12orf43,Csad,Areg
CUNH15orf39,Cse1l,Arel1
CUNH18orf54,Csnk1a1,Arf3
CUNH19orf57,Csnk2b,Arf4
CUNH1orf131,Csrnp1,Arf5
CUNH1orf198,Cstf1,Arf6
CUNH2orf69,Cstf3,Arfgap1
CUNH3orf33,Ctbp1,Arfgap2
CUNH3orf38,Ctcf,Arfgap3
CUNH4orf36,Ctdp1,Arfgef1
